id,inicio,fim,esporte,genero,fase,local1,local2,cidade
BV010,2016-08-09T10:00-03:00,2016-08-09T13:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV011,2016-08-09T15:30-03:00,2016-08-09T19:20-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV012,2016-08-09T21:00-03:00,2016-08-09T00:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV013,2016-08-10T10:00-03:00,2016-08-10T13:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV014,2016-08-10T15:30-03:00,2016-08-10T19:20-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV015,2016-08-10T21:00-03:00,2016-08-10T00:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV016,2016-08-11T10:00-03:00,2016-08-11T13:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV017,2016-08-11T15:30-03:00,2016-08-11T19:20-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV018,2016-08-11T21:00-03:00,2016-08-11T00:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Fase de grupos e Repescagem,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV019,2016-08-12T11:00-03:00,2016-08-12T12:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Oitavas de final,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV020,2016-08-12T15:00-03:00,2016-08-12T16:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Oitavas de final,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
BV021,2016-08-12T19:00-03:00,2016-08-12T20:50-03:00,Vôlei de praia,Masculino e/ou Feminino,Oitavas de final,Arena de Vôlei de Praia,Av. Atlântica - Posto 2 - Copacabana, Rio de Janeiro
